Descrição,CUSTOS,Data,Forma de Pg,NF-E,Status Pg,Texto,Tipo,Valor,Vencimento
Dental Cremer,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),08/04/2026,BOLETO PARCELADO,nfe_1775776567.pdf,PAGO,,INSUMOS,"R$ 159,09",11/05/2026
Dental Cremer,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),06/04/2026,BOLETO À VISTA,nfe_1775776595.pdf,PAGO,,BIOMATERIAL,"R$ 89,09",06/04/2026
RZ Dental,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),08/04/2026,PIX,WhatsApp_Image_2026-04-08_at_10.51.34.jpeg,PAGO,,COMPONENTES,"R$ 531,88",08/04/2026
RZ Dental,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),06/04/2026,PIX,WhatsApp_Image_2026-04-06_at_11.16.45.jpeg,PAGO,,COMPONENTES,"R$ 204,58",06/04/2026
X-Face,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),01/04/2026,PIX,WhatsApp_Image_2026-04-01_at_10.44.18.jpeg,PAGO,,LAB,"R$ 15,00",01/04/2026
Systex,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),02/04/2026,PIX,NFe33260405644129001390550000000028501240290581.pdf,PAGO,,COMPONENTES,"R$ 281,00",02/04/2026
Dental Cremer,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),08/04/2026,BOLETO PARCELADO,nfe_1775776567%201.pdf,PAGO,,INSUMOS,"R$ 159,09",08/06/2026
Mercado livre,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),01/04/2026,PIX,Lumina_Bone_Medio_Enxerto_sseo_Biocompatvel_Original.pdf,PAGO,,BIOMATERIAL,"R$ 95,00",01/04/2026
Mercado Livre,C- MARÇO (https://app.notion.com/p/C-MAR-O-f94b06bae9b944478b9fe35ac5505788?pvs=21),24/03/2026,PIX,Enxerto_Osseo_Bovino_Lumina_Bone_Medio_05g_-_Criteria.pdf,PAGO,,BIOMATERIAL,"R$ 98,12",24/03/2026
Suturas Online,C- MARÇO (https://app.notion.com/p/C-MAR-O-f94b06bae9b944478b9fe35ac5505788?pvs=21),19/03/2026,PIX,Portal_da_Nota_Fiscal_Eletrnica.pdf,PAGO,,INSUMOS,"R$ 36,84",19/03/2026
Systex,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),10/04/2026,PIX,,PAGO,,COMPONENTES,"R$ 1.088,50",10/04/2026
Dental Cremer,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),12/04/2026,BOLETO PARCELADO,,PAGO,,INSUMOS,"R$ 259,89",14/05/2026
Dental Cremer,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),12/04/2026,BOLETO PARCELADO,,PAGO,,BIOMATERIAL,"R$ 119,09",13/05/2026
CRO RJ,D- ABRIL (https://app.notion.com/p/D-ABRIL-adc1d1569c71436391eb1b4efbb2a7b6?pvs=21),16/04/2026,BOLETO PARCELADO,,PAGO,,IMPOSTO E CRO,"R$ 88,00",16/04/2026
CRO RJ,E- MAIO (https://app.notion.com/p/E-MAIO-bbe86f7f331a48fc8e30b6d898895075?pvs=21),16/04/2026,BOLETO PARCELADO,,PAGO,,IMPOSTO E CRO,"R$ 88,00",25/05/2026
CRO RJ,F- JUNHO (https://app.notion.com/p/F-JUNHO-9d6bd0096afc4d3d987e1932d583cd89?pvs=21),16/04/2026,BOLETO PARCELADO,,PAGO,,IMPOSTO E CRO,"R$ 89,00",23/06/2026
CRO RJ,G- JULHO (https://app.notion.com/p/G-JULHO-dd819e9ec1da4e489b02fb15b195cd4c?pvs=21),16/04/2026,BOLETO PARCELADO,,PAGO,,IMPOSTO E CRO,"R$ 88,00",23/07/2026
CRO RJ,H- AGOSTO (https://app.notion.com/p/H-AGOSTO-7988b51fb3b7460ca0ae690bd7b42362?pvs=21),16/04/2026,BOLETO PARCELADO,,PAGO,,IMPOSTO E CRO,"R$ 88,00",24/08/2026
CRO RJ,I- SETEMBRO (https://app.notion.com/p/I-SETEMBRO-b7c39b284f574147b7a08e889c97fc36?pvs=21),16/04/2026,BOLETO PARCELADO,,À PAGAR,,IMPOSTO E CRO,"R$ 88,00",23/09/2026
CRO RJ,J- OUTUBRO (https://app.notion.com/p/J-OUTUBRO-836f714f09e840bda2be1500412c94b5?pvs=21),16/04/2026,BOLETO PARCELADO,,À PAGAR,,IMPOSTO E CRO,"R$ 88,00",23/10/2026
CRO RJ,K- NOVEMBRO (https://app.notion.com/p/K-NOVEMBRO-be2a5fc36130490aaf5775faf451ca13?pvs=21),16/04/2026,BOLETO PARCELADO,,À PAGAR,,IMPOSTO E CRO,"R$ 88,00",23/11/2026
CRO RJ,L- DEZEMBRO (https://app.notion.com/p/L-DEZEMBRO-c132f8237c99442aa22f5348b51149ad?pvs=21),16/04/2026,BOLETO PARCELADO,,À PAGAR,,IMPOSTO E CRO,"R$ 88,00",23/12/2026
CRO RJ,,16/04/2026,BOLETO PARCELADO,,À PAGAR,,IMPOSTO E CRO,"R$ 88,00",25/01/2027
